date,open,gap,hod,low,close,eodVolume,pmVolume,floatShares,marketCap,hodTime,lodTime,openPush,hodToClose,closedRed
3/31/2021,$7.28 ,15.74%,$7.88 ,$6.65 ,$7.43 ,"7,500,000","2,400,000","68,000,000","$495,040,000 ",9:51:00 AM,10:20:00 AM,8.24%,-5.71%,no
3/31/2021,$4.01 ,16.23%,$5.19 ,$3.82 ,$4.20 ,"114,000,000","3,000,000","8,600,000","$34,486,000 ",9:51:00 AM,9:34:00 AM,29.43%,-19.08%,no
3/31/2021,$3.65 ,19.28%,$4.11 ,$3.28 ,$3.65 ,"11,300,000","2,200,000","5,700,000","$20,805,000 ",9:38:00 AM,10:08:00 AM,12.60%,-11.19%,no
3/31/2021,$12.72 ,27.33%,$13.20 ,$9.12 ,$9.52 ,"16,000,000","3,200,000","6,300,000","$80,136,000 ",9:36:00 AM,2:10:00 PM,3.77%,-27.88%,yes
3/31/2021,$3.37 ,44.64%,$3.47 ,$2.72 ,$2.77 ,"77,000,000","17,000,000","10,830,000","$36,497,100 ",9:31:00 AM,4:09:00 PM,2.97%,-20.17%,yes
4/1/2021,$4.28 ,17.58%,$15.81 ,$4.12 ,$9.85 ,"143,000,000","500,000","1,200,000","$5,136,000 ",1:04:00 PM,9:32:00 AM,269.39%,-37.70%,no
4/1/2021,$7.76 ,23.17%,$9.70 ,$6.39 ,$7.83 ,"7,100,000","400,000","1,500,000","$11,640,000 ",9:39:00 AM,1:31:00 PM,25.00%,-19.28%,no
4/1/2021,$9.43 ,26.92%,$9.89 ,$8.20 ,$8.88 ,"15,000,000","3,500,000","2,000,000","$18,860,000 ",9:46:00 AM,1:21:00 PM,4.88%,-10.21%,yes
4/1/2021,$8.08 ,29.90%,$8.45 ,$5.31 ,$5.54 ,"114,000,000","10,900,000","58,000,000","$468,640,000 ",9:45:00 AM,3:31:00 PM,4.58%,-34.44%,yes
4/1/2021,$5.44 ,35.32%,$7.22 ,$5.07 ,$5.30 ,"76,000,000","5,300,000","20,000,000","$108,800,000 ",9:47:00 AM,1:01:00 PM,32.72%,-26.59%,yes
4/5/2021,$2.91 ,7.78%,$3.08 ,$2.52 ,$2.63 ,"7,000,000","2,100,000","35,000,000","$101,850,000 ",9:31:00 AM,11:50:00 AM,5.84%,-14.61%,yes
4/5/2021,$1.86 ,8.14%,$1.89 ,$1.65 ,$1.79 ,"3,800,000","1,200,000","17,000,000","$31,620,000 ",9:31:00 AM,11:55:00 AM,1.61%,-5.29%,yes
4/5/2021,$1.27 ,23.30%,$1.42 ,$1.12 ,$1.18 ,"42,000,000","4,300,000","14,000,000","$17,780,000 ",9:53:00 AM,12:02:00 PM,11.81%,-16.90%,yes
4/5/2021,$9.75 ,36.55%,$10.17 ,$7.26 ,$7.63 ,"22,000,000","3,300,000","7,000,000","$68,250,000 ",9:31:00 AM,3:03:00 PM,4.31%,-24.98%,yes
4/5/2021,$5.52 ,56.82%,$6.25 ,$5.02 ,$5.65 ,"260,000,000","21,000,000","17,400,000","$96,048,000 ",11:36:00 AM,10:05:00 AM,13.22%,-9.60%,no
4/6/2021,$1.69 ,20.71%,$1.76 ,$1.42 ,$1.51 ,"16,500,000","6,000,000","35,000,000","$59,150,000 ",9:35:00 AM,2:34:00 PM,4.14%,-14.20%,yes
4/6/2021,$2.16 ,25.58%,$2.47 ,$1.86 ,$1.92 ,"150,000,000","15,000,000","42,000,000","$90,720,000 ",9:36:00 AM,1:25:00 PM,14.35%,-22.27%,yes
4/6/2021,$15.00 ,50.00%,$18.50 ,$11.78 ,$12.65 ,"49,000,000","4,000,000","2,100,000","$31,500,000 ",10:48:00 AM,3:51:00 PM,23.33%,-31.62%,yes
4/6/2021,$8.36 ,79.01%,$8.53 ,$5.80 ,$6.08 ,"44,400,000","10,300,000","20,000,000","$167,200,000 ",9:31:00 AM,3:56:00 PM,2.03%,-28.72%,yes
4/7/2021,$10.24 ,3.43%,$10.32 ,$11.78 ,$10.01 ,"6,800,000","2,800,000","2,000,000","$20,480,000 ",9:32:00 AM,12:41:00 PM,0.78%,-3.00%,yes
4/7/2021,$14.00 ,10.24%,$14.14 ,$12.71 ,$13.14 ,"5,300,000","700,000","38,000,000","$532,000,000 ",9:31:00 AM,1:42:00 PM,1.00%,-7.07%,yes
4/7/2021,$7.22 ,13.70%,$9.22 ,$6.52 ,$7.19 ,"10,000,000","200,000","1,200,000","$8,664,000 ",9:44:00 AM,1:11:00 PM,27.70%,-22.02%,yes
